"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","15-Jul-2019","       1361.95","       1362.85","       1367.00","       1347.05","       1348.95","       1353.15","       1356.44","     666533","           904115133.05","      34548","     317087","         47.57"
"ASIANPAINT","EQ","16-Jul-2019","       1353.15","       1352.00","       1375.00","       1345.00","       1371.00","       1372.30","       1366.91","     782642","          1069798270.15","      45952","     402306","         51.40"
"ASIANPAINT","EQ","17-Jul-2019","       1372.30","       1377.00","       1404.85","       1375.50","       1394.00","       1395.90","       1391.58","    1599926","          2226419096.90","      58958","     696137","         43.51"
"ASIANPAINT","EQ","18-Jul-2019","       1395.90","       1395.00","       1395.35","       1377.20","       1384.50","       1384.95","       1385.73","     802222","          1111664010.00","      48621","     430722","         53.69"
"ASIANPAINT","EQ","19-Jul-2019","       1384.95","       1390.10","       1399.40","       1365.00","       1373.95","       1369.10","       1376.69","     842552","          1159928889.30","      47644","     360732","         42.81"
"ASIANPAINT","EQ","22-Jul-2019","       1369.10","       1367.80","       1410.00","       1359.05","       1401.15","       1404.20","       1393.98","    1279369","          1783416447.45","      50354","     445955","         34.86"
"ASIANPAINT","EQ","23-Jul-2019","       1404.20","       1409.00","       1443.95","       1401.85","       1430.30","       1429.35","       1427.71","    2262423","          3230082283.85","      91243","     729434","         32.24"
"ASIANPAINT","EQ","24-Jul-2019","       1429.35","       1430.50","       1493.50","       1395.15","       1478.50","       1483.40","       1453.57","    7400250","         10756764457.00","     231051","    2119995","         28.65"
"ASIANPAINT","EQ","25-Jul-2019","       1483.40","       1481.30","       1503.85","       1459.05","       1498.00","       1495.85","       1486.86","    4194809","          6237079307.15","     187531","    1555476","         37.08"
"ASIANPAINT","EQ","26-Jul-2019","       1495.85","       1488.10","       1530.80","       1485.60","       1525.00","       1526.45","       1512.72","    2420636","          3661747204.25","     115633","    1272441","         52.57"
"ASIANPAINT","EQ","29-Jul-2019","       1526.45","       1524.90","       1538.25","       1506.60","       1514.90","       1513.25","       1520.01","    1634196","          2484001784.85","     100835","     526773","         32.23"
"ASIANPAINT","EQ","30-Jul-2019","       1513.25","       1511.10","       1527.00","       1502.70","       1509.50","       1508.75","       1514.55","    1436383","          2175478308.25","      99390","     558397","         38.88"
"ASIANPAINT","EQ","31-Jul-2019","       1508.75","       1507.00","       1525.00","       1495.15","       1522.00","       1521.10","       1511.13","    1249734","          1888515174.75","      78338","     484829","         38.79"
"ASIANPAINT","EQ","01-Aug-2019","       1521.10","       1515.00","       1531.45","       1493.65","       1510.15","       1504.70","       1507.63","    2263295","          3412201931.15","      83834","    1270054","         56.12"
"ASIANPAINT","EQ","02-Aug-2019","       1504.70","       1509.00","       1550.00","       1504.50","       1548.00","       1545.20","       1530.93","    3044783","          4661342540.80","     147653","    1524684","         50.08"
