Date,Open,High,Low,Close,Adj Close,Volume
2014-10-17,632.000000,644.000000,630.000000,640.099976,617.571655,1194425
2014-10-20,646.000000,657.000000,645.250000,647.599976,624.807739,1135010
2014-10-21,652.000000,653.200012,638.500000,644.250000,621.575623,1320367
2014-10-22,649.799988,658.299988,633.549988,644.000000,621.334534,3318551
2014-10-27,657.500000,658.799988,647.200012,648.750000,625.917297,1828483
2014-10-28,648.849976,653.599976,644.099976,646.700012,623.939392,974665
2014-10-29,653.950012,653.950012,642.000000,646.400024,623.650024,1472338
2014-10-30,644.650024,647.500000,641.099976,644.700012,622.009705,1961313
2014-10-31,647.099976,658.000000,647.099976,657.000000,633.876892,1568966
2014-11-03,660.900024,663.000000,650.650024,653.599976,630.596558,1127612
2014-11-05,660.900024,664.799988,655.000000,657.299988,634.166382,2038028
2014-11-07,660.000000,660.049988,637.000000,646.099976,623.360596,1491347
2014-11-10,646.150024,654.000000,643.000000,648.900024,626.062012,1507972
2014-11-11,648.250000,655.900024,644.500000,649.299988,626.447937,1412600
2014-11-12,649.000000,654.700012,642.000000,644.000000,621.334534,864869
2014-11-13,646.000000,651.000000,640.000000,644.799988,622.106384,1113887
2014-11-14,646.900024,674.400024,642.450012,672.200012,648.541931,5337199
2014-11-17,675.400024,694.950012,675.000000,691.950012,667.596863,2528265
2014-11-18,695.000000,703.599976,683.099976,700.900024,676.231873,1356980
2014-11-19,699.700012,700.599976,675.099976,683.099976,659.058289,1515771
2014-11-20,684.799988,693.500000,680.000000,690.549988,666.246094,647552
2014-11-21,691.799988,696.799988,685.000000,692.150024,667.789795,1211218
2014-11-24,693.799988,694.799988,680.700012,691.099976,666.776794,1103930
2014-11-25,688.950012,694.700012,682.349976,691.750000,667.403809,1054109
2014-11-26,693.900024,709.500000,692.099976,704.750000,679.946350,1470743
2014-11-27,709.400024,718.000000,702.799988,705.700012,680.862854,1821915
2014-11-28,716.099976,749.200012,715.599976,744.700012,718.490234,3400152
2014-12-01,753.950012,802.200012,753.099976,797.049988,768.997803,3291847
2014-12-02,796.799988,796.799988,767.200012,770.049988,742.948181,2476843
2014-12-03,774.799988,794.950012,773.000000,789.400024,761.617004,1711464
2014-12-04,791.950012,798.799988,777.950012,791.700012,763.836243,1376036
2014-12-05,794.900024,797.500000,781.750000,784.650024,757.034241,588459
2014-12-08,794.000000,809.599976,786.200012,793.500000,765.572876,1413437
2014-12-09,797.000000,801.299988,771.099976,781.799988,754.284546,1457128
2014-12-10,779.950012,779.950012,764.450012,775.650024,748.351074,1267394
2014-12-11,782.599976,790.450012,765.000000,769.500000,742.417419,1437194
2014-12-12,774.500000,785.349976,770.000000,774.299988,747.048462,1232250
2014-12-15,770.000000,777.599976,761.650024,767.250000,740.246643,784332
2014-12-16,765.000000,767.000000,752.000000,758.849976,732.142273,910901
